id,name,name_grel,name_grel_star,host_id,host_name,host_name 1,host_name 2,neighbourhood,neighbourhood_case,neighbourhood_loop,neighbourhood_cluster,latitude,longitude,room_type,price,price_crazy,minimum_nights,minimum_nights_long,number_of_reviews,last_review,last_review_timeless,reviews_per_month,calculated_host_listings_count,availability_365
2384,(Hyde Park - Walk to UChicago/Theological Seminary),Hyde Park - Walk to UChicago/Theological Seminary,Hyde Park - Walk to UChicago/Theological Seminary,2613,Rebecca,Rebecca,,hyde park,Hyde Park,Hyde Park,Hyde Park,41.7888649,-87.58670891,Private room,50,,2,,137,2018-11-12T00:00:00Z,2018-11-12,2.92,1,163
6715,(Lincoln Park Oasis - Unit 2 ONLY),Lincoln Park Oasis - Unit 2 ONLY,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,Reem,,OHARE,Ohare,Ohare,O'Hare,41.92926222,-87.66009125,Entire home/apt,255,,4,,93,2018-08-12T00:00:00Z,2018-08-12,0.81,2,303
7126,(Tiny Studio Apartment 94 Walk Score),Tiny Studio Apartment 94 Walk Score,Tiny Studio Apartment 94 Walk Score,17928,Sarah,Sarah,,West Town,West Town,West Town,West Town,41.90289494,-87.6818216,Entire home/apt,80,,2,,321,2018-10-29T00:00:00Z,2018-10-29,2.81,1,362
9811,(Barbara's Hideaway - Old Town),Barbara's Hideaway - Old Town,Barbara's Hideaway - Old Town,33004,At Home Inn,At Home Inn,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91768924,-87.63787944,Entire home/apt,150,,3,,33,2018-10-14T00:00:00Z,2018-10-14,0.59,9,350
10610,(3 Comforts of Cooperative Living),3 Comforts of Cooperative Living,3 Comforts of Cooperative Living,2140,Lois And Ed,Lois,Ed,hyde park,Hyde Park,Hyde Park,Hyde Park,41.79708495,-87.59194894,Private room,35,,2,,31,2018-07-29T00:00:00Z,2018-07-29,0.63,5,179
10945,(The Biddle House (#1)),The Biddle House (#1),The Biddle House (#1),33004,At Home Inn,At Home Inn,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91182685,-87.63999816,Entire home/apt,215,,3,,9,2018-11-05T00:00:00Z,2018-11-05,0.16,9,357
12068,(Chicago GOLD COAST 1 Bedroom Condo),Chicago GOLD COAST 1 Bedroom Condo,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,Dominic,,Near North Side,Near North Side,Near North Side,Near North Side,41.9045209,-87.63320022,Entire home/apt,99,,165,,8,2017-10-24T00:00:00Z,2017-10-24,0.18,2,303
12140,(Lincoln Park Guest House),Lincoln Park Guest House,Lincoln Park Guest House,46734,Sharon And Robert,Sharon,Robert,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.92335308,-87.64950966,Private room,289,,2,,4,2018-10-17T00:00:00Z,2018-10-17,0.1,1,169
22362,(*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **),*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,Luxury in Chicago 2BR/ 2Ba / Parking / BBQ,85811,Craig,Craig,,West Town,West Town,West Town,West Town,41.89616805,-87.66041074,Entire home/apt,99,,60,,9,2014-10-12T00:00:00Z,2014-10-12,0.15,1,280
22651,(beautifully furnished 3 bed/1bath 1),beautifully furnished 3 bed/1bath 1,beautifully furnished 3 bed/1bath 1,87231,Jeff And JoAnne,Jeff,JoAnne,Lake view,Lake View,Lake View,Lake View,41.94910517,-87.65790583,Entire home/apt,185,,1,,174,2018-10-21T00:00:00Z,2018-10-21,1.69,17,71
24833,(Private Apt 1 Block to Fullerton L Red Line - Deck),Private Apt 1 Block to Fullerton L Red Line - Deck,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,Red,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.92679107,-87.65521134,Entire home/apt,99,,32,,37,2018-07-29T00:00:00Z,2018-07-29,0.36,4,341
25267,(Wrigleyville beautifully furnished 3 bedroom #2),Wrigleyville beautifully furnished 3 bedroom #2,Wrigleyville beautifully furnished 3 bedroom #2,87231,Jeff And JoAnne,Jeff,JoAnne,Lake view,Lake View,Lake View,Lake View,41.94750674,-87.65928449,Entire home/apt,105,,1,,166,2018-10-21T00:00:00Z,2018-10-21,1.67,17,64
25269,"(Old Town, Furnished 2 bedroom: SWG)","Old Town, Furnished 2 bedroom: SWG","Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,Jeff,JoAnne,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.9142263,-87.63846122,Entire home/apt,115,,1,,172,2018-10-15T00:00:00Z,2018-10-15,1.68,17,165
25879,(Top 2/1 Block to Fullerton L Red Line Deck & Yard),Top 2/1 Block to Fullerton L Red Line Deck & Yard,Top 2/1 Block to Fullerton L Red Line Deck & Yard,101521,Red,Red,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.92693453,-87.65752711,Entire home/apt,99,,32,,43,2017-09-18T00:00:00Z,2017-09-18,0.42,4,162
